order_id,customer_id,product_id,order_date,quantity,unit_price,total_amount,status,payment_method,shipping_address
36,1467,375,2024-06-22,,113.07,,Shipped,Credit Card,
37,817,77,2024-11-14,,,,Processing,,"123 Main St, New York"
38,927,228,2024-05-28,,,,Processing,Credit Card,UNKNOWN
39,2988,31,2023-05-07,,,,Processing,,
40,1938,349,,,463.27,,Cancelled,Credit Card,"456 Oak Ave, Los Angeles"
41,600,39,2023-01-22,9.0,,,Delivered,Crypto,UNKNOWN
42,322,400,2024-03-13,8.0,161.12,1288.96,Processing,,"123 Main St, New York"
43,2786,236,,,,,Pending,Cash,
44,2124,389,2023-04-27,,217.9,,Returned,PayPal,"123 Main St, New York"
45,1596,129,2023-05-28,,,,Returned,PayPal,"789 Pine Rd, Chicago"
46,2438,308,2024-07-19,,309.4,,Cancelled,Debit Card,
47,2208,125,2024-03-20,,344.59,,Unknown,Credit Card,
48,1356,407,,,128.99,,Cancelled,PayPal,"456 Oak Ave, Los Angeles"
49,2335,212,,,400.9,,Cancelled,Cash,
50,2077,14,2023-04-10,,,,Pending,Cash,"123 Main St, New York"
51,2703,32,2023-10-24,2.0,264.51,529.02,Pending,Credit Card,UNKNOWN
52,1834,83,,,,,Delivered,Crypto,UNKNOWN
53,2510,3,2024-05-18,,402.49,,Delivered,PayPal,
54,332,197,2024-07-01,6.0,106.58,639.48,Unknown,Crypto,"123 Main St, New York"
55,1041,67,,,,,Cancelled,Debit Card,"123 Main St, New York"
56,1387,46,2024-01-31,,157.5,,Shipped,PayPal,"789 Pine Rd, Chicago"
57,2516,358,,,,,Cancelled,Debit Card,
58,2012,326,2024-04-28,5.0,,,Delivered,Cash,UNKNOWN
59,2094,384,,2.0,,,Delivered,Credit Card,"789 Pine Rd, Chicago"
60,2942,354,,,,,Returned,Cash,
61,1025,47,2023-01-18,10.0,,,Cancelled,,
62,2289,262,,,,,Returned,PayPal,"456 Oak Ave, Los Angeles"
63,2110,477,2024-02-03,,,,Processing,Debit Card,"456 Oak Ave, Los Angeles"
64,2026,271,2024-12-13,,377.71,,Delivered,Cash,"123 Main St, New York"
65,2609,178,2023-06-09,,,,Returned,,UNKNOWN
66,2458,56,,10.0,213.25,2132.5,Delivered,,
67,2104,489,,6.0,385.79,2314.74,Cancelled,Debit Card,"789 Pine Rd, Chicago"
68,1348,363,2023-04-23,,,,Processing,Cash,"789 Pine Rd, Chicago"
69,1654,210,2023-11-03,,29.33,,Processing,,UNKNOWN
70,1587,89,2023-08-15,,320.04,,Cancelled,Debit Card,"456 Oak Ave, Los Angeles"
71,1397,242,2023-10-28,,273.59,,Returned,Crypto,
72,1765,188,2024-07-03,,,,Delivered,,"789 Pine Rd, Chicago"
73,918,68,2023-10-14,,284.8,,Processing,PayPal,"789 Pine Rd, Chicago"
74,1003,40,2023-06-23,,,,Processing,Credit Card,UNKNOWN
75,1670,245,2024-01-05,5.0,332.44,1662.2,Cancelled,Crypto,
76,596,4,2023-11-13,,,,Shipped,Debit Card,"789 Pine Rd, Chicago"
77,1744,359,2024-07-08,,,,Cancelled,Cash,
78,2882,278,2024-01-31,,,,Returned,PayPal,
79,2756,229,,,,,Delivered,Cash,"123 Main St, New York"
80,2255,368,,10.0,,,Delivered,Credit Card,
81,1712,386,2024-03-11,,,,Cancelled,Debit Card,"456 Oak Ave, Los Angeles"
82,330,239,2023-08-08,,,,Cancelled,PayPal,
83,2741,296,2023-03-16,,,,Processing,,"456 Oak Ave, Los Angeles"
84,2515,20,2024-04-15,,,,Delivered,,"789 Pine Rd, Chicago"
85,2095,73,,,,,Cancelled,,"456 Oak Ave, Los Angeles"
86,1766,73,,,,,Cancelled,,"789 Pine Rd, Chicago"
87,445,278,2023-06-22,,197.41,,Cancelled,Cash,"789 Pine Rd, Chicago"
88,393,389,2023-04-25,,,,Delivered,,"456 Oak Ave, Los Angeles"
89,572,52,2023-04-05,,,,Pending,PayPal,
90,2050,329,2023-05-02,8.0,31.61,252.88,Delivered,Credit Card,"456 Oak Ave, Los Angeles"
91,2828,246,,,,,Cancelled,,
92,1115,215,2024-10-26,3.0,,,Returned,Debit Card,"123 Main St, New York"
93,2979,398,,7.0,,,Pending,PayPal,
94,1326,463,2024-12-15,,430.74,,Pending,,"456 Oak Ave, Los Angeles"
95,2025,142,,7.0,256.75,1797.25,Shipped,Credit Card,"456 Oak Ave, Los Angeles"
96,1406,56,2023-05-13,2.0,,,Processing,PayPal,"123 Main St, New York"
97,145,243,,,224.92,,Delivered,,
98,2235,108,2024-04-09,,282.17,,Cancelled,,"123 Main St, New York"
99,2536,99,2024-09-29,7.0,,,Processing,Debit Card,"123 Main St, New York"
100,984,272,2024-03-10,4.0,448.05,1792.2,Pending,PayPal,
101,1766,222,2024-06-30,,,,Cancelled,PayPal,"456 Oak Ave, Los Angeles"
102,109,484,,,,,Unknown,PayPal,
103,1845,300,,,,,Cancelled,Cash,
104,772,459,2024-11-23,5.0,,,Shipped,Credit Card,
105,1566,154,,,,,Processing,Debit Card,"123 Main St, New York"
106,822,467,2024-06-05,,,,Cancelled,Cash,
107,2466,248,,,,,Returned,Debit Card,"789 Pine Rd, Chicago"
108,377,355,2024-12-21,,,,Processing,PayPal,
109,2533,105,,,,,Returned,Credit Card,
110,1031,45,2024-06-21,7.0,,,Processing,Crypto,"456 Oak Ave, Los Angeles"
111,2179,82,,,,,Shipped,PayPal,
112,538,455,2024-08-18,,460.8,,Returned,Debit Card,"456 Oak Ave, Los Angeles"
113,2892,267,2023-04-20,,332.9,,Shipped,Credit Card,"456 Oak Ave, Los Angeles"
114,1497,82,2024-02-11,4.0,379.86,1519.44,Unknown,PayPal,UNKNOWN
115,84,145,2023-12-28,,,,Shipped,Crypto,"789 Pine Rd, Chicago"
116,949,167,,,,,Processing,,
117,2610,126,2023-07-29,,195.75,,Shipped,PayPal,"789 Pine Rd, Chicago"
118,1167,373,,,,,Processing,PayPal,UNKNOWN
119,2586,90,2024-10-18,3.0,,,Pending,Crypto,UNKNOWN
120,2189,396,2023-06-29,5.0,,,Processing,,
121,965,470,2023-08-23,,182.68,,Delivered,Debit Card,
122,2368,16,2024-07-31,7.0,,,Cancelled,,UNKNOWN
123,1873,121,,,,,Shipped,,"123 Main St, New York"
124,2872,60,2024-10-12,,,,Processing,PayPal,"123 Main St, New York"
125,1677,191,2023-06-13,3.0,,,Returned,Credit Card,UNKNOWN
126,227,132,2023-04-14,,,,Delivered,,"456 Oak Ave, Los Angeles"
127,2014,79,,,266.34,,Delivered,,
128,2821,443,2023-11-23,4.0,,,Delivered,Cash,"123 Main St, New York"
129,1246,57,2024-11-23,,,,Delivered,PayPal,"789 Pine Rd, Chicago"
130,1986,142,2024-07-04,5.0,,,Cancelled,,
131,909,440,2023-05-31,,,,Shipped,PayPal,"123 Main St, New York"
132,2326,173,,,,,Returned,Debit Card,"456 Oak Ave, Los Angeles"
133,670,8,,8.0,,,Returned,Crypto,"456 Oak Ave, Los Angeles"
134,569,48,2023-09-18,9.0,331.38,2982.42,Cancelled,Debit Card,
135,1380,120,2024-03-02,,115.55,,Delivered,Credit Card,UNKNOWN
136,15,175,2024-12-19,,,,Pending,,"123 Main St, New York"
137,2805,334,,6.0,,,Delivered,Credit Card,UNKNOWN
138,1517,122,2024-05-20,7.0,,,Cancelled,PayPal,"456 Oak Ave, Los Angeles"
139,1761,360,2024-05-06,,119.08,,Unknown,PayPal,"123 Main St, New York"
140,2425,330,2024-01-21,,,,Cancelled,Credit Card,"456 Oak Ave, Los Angeles"
141,710,359,,,,,Cancelled,,"456 Oak Ave, Los Angeles"
142,1873,430,2023-12-30,,,,Cancelled,,"456 Oak Ave, Los Angeles"
143,892,347,2024-11-17,,,,Delivered,PayPal,
144,421,490,2024-11-21,,218.24,,Shipped,Credit Card,"123 Main St, New York"
145,176,364,2023-09-04,,441.68,,Delivered,Cash,"123 Main St, New York"
146,1307,335,2024-06-01,,,,Delivered,Crypto,"123 Main St, New York"
147,1190,457,2023-06-23,2.0,,,Delivered,Debit Card,
148,2219,392,,,23.49,,Shipped,,UNKNOWN
149,2619,440,2023-09-14,,,,Processing,Debit Card,
150,1608,382,2024-09-29,,,,Pending,Cash,UNKNOWN
151,837,129,2024-01-20,3.0,270.2,810.6,Returned,,"789 Pine Rd, Chicago"
152,1658,296,2023-09-13,,86.66,,Returned,Credit Card,
153,1929,352,2024-11-18,2.0,,,Shipped,,
154,1700,7,2024-10-25,,,,Processing,,UNKNOWN
155,1937,327,2024-10-06,,,,Cancelled,Debit Card,UNKNOWN
156,2435,124,2024-08-05,,232.84,,Cancelled,Crypto,"123 Main St, New York"
157,1131,60,2024-12-30,,257.39,,Cancelled,Debit Card,UNKNOWN
158,2373,459,2024-07-31,,134.53,,Unknown,Debit Card,
159,2286,105,,,225.22,,Returned,Debit Card,
160,1142,339,,,,,Shipped,,
161,2039,241,2023-03-04,7.0,,,Cancelled,PayPal,UNKNOWN
162,1365,210,2024-04-25,,,,Processing,Crypto,UNKNOWN
163,728,39,2023-03-31,,160.33,,Shipped,Crypto,
164,2860,62,2023-11-21,,,,Processing,Credit Card,UNKNOWN
165,827,389,2024-07-05,,,,Returned,Debit Card,
166,1067,58,2023-02-04,5.0,,,Shipped,Debit Card,
167,2768,291,2023-10-22,,,,Processing,PayPal,UNKNOWN
168,1082,118,2023-05-14,,,,Cancelled,Credit Card,
169,1292,130,2024-04-20,,210.6,,Processing,Debit Card,"123 Main St, New York"
170,719,211,2023-02-17,,148.09,,Shipped,,"789 Pine Rd, Chicago"
171,2609,117,2024-09-22,,,,Cancelled,PayPal,"123 Main St, New York"
172,1998,48,,,,,Processing,Cash,"456 Oak Ave, Los Angeles"
173,1856,198,2024-06-03,,,,Processing,Crypto,UNKNOWN
174,2962,383,2024-10-30,9.0,,,Shipped,,UNKNOWN
175,2736,313,2024-08-23,,,,Cancelled,Cash,
176,2570,106,2023-09-03,1.0,,,Delivered,Credit Card,UNKNOWN
177,1840,45,2023-06-18,8.0,,,Shipped,,
178,2297,240,2023-11-21,5.0,,,Cancelled,PayPal,"456 Oak Ave, Los Angeles"
179,485,442,2023-10-22,,,,Returned,PayPal,"456 Oak Ave, Los Angeles"
180,2360,29,2024-08-25,,,,Cancelled,,"123 Main St, New York"
181,2829,222,2023-02-22,,157.86,,Delivered,Credit Card,"789 Pine Rd, Chicago"
182,567,292,2024-06-05,7.0,,,Processing,Credit Card,"456 Oak Ave, Los Angeles"
183,1711,202,2024-08-09,,,,Delivered,PayPal,"456 Oak Ave, Los Angeles"
184,1943,494,2023-09-08,,,,Returned,,
185,59,49,2024-12-31,,,,Shipped,Credit Card,UNKNOWN
186,1301,499,,,,,Delivered,,"789 Pine Rd, Chicago"
187,979,174,2024-10-08,,,,Delivered,Cash,"456 Oak Ave, Los Angeles"
188,227,208,2023-05-18,,,,Returned,Cash,
189,2004,167,2023-04-13,,,,Returned,Credit Card,"789 Pine Rd, Chicago"
190,338,174,2024-11-17,,,,Processing,,"456 Oak Ave, Los Angeles"
191,2715,248,,10.0,,,Shipped,Credit Card,
192,2081,457,2024-05-31,,,,Returned,Credit Card,UNKNOWN
193,1505,119,,,417.39,,Processing,PayPal,"789 Pine Rd, Chicago"
194,2700,410,,,,,Processing,Credit Card,"456 Oak Ave, Los Angeles"
195,2196,495,2023-03-12,,119.68,,Returned,Cash,"456 Oak Ave, Los Angeles"
196,484,497,2023-01-10,3.0,,,Cancelled,Credit Card,
197,1824,325,,,,,Pending,Debit Card,
198,1574,309,,,,,Processing,,
199,2687,158,2024-01-31,3.0,,,Unknown,Crypto,
200,1463,459,,,,,Shipped,Crypto,"456 Oak Ave, Los Angeles"
201,1556,423,2023-03-08,,,,Processing,,
202,2633,69,2024-09-05,,,,Delivered,Credit Card,UNKNOWN
203,1016,111,,,,,Shipped,Credit Card,
204,2833,170,,,235.25,,Shipped,Cash,"789 Pine Rd, Chicago"
205,2482,406,2023-07-18,,445.04,,Processing,Debit Card,"789 Pine Rd, Chicago"
206,2073,379,,,306.18,,Cancelled,,"456 Oak Ave, Los Angeles"
207,2799,230,,,,,Cancelled,Crypto,
208,2581,166,,,,,Delivered,Debit Card,UNKNOWN
209,640,472,,,432.07,,Delivered,PayPal,"789 Pine Rd, Chicago"
210,2225,479,2024-01-05,,416.19,,Cancelled,PayPal,"123 Main St, New York"
211,75,260,2024-11-02,,,,Processing,Credit Card,"456 Oak Ave, Los Angeles"
212,2621,139,,,,,Delivered,Credit Card,"123 Main St, New York"
213,1396,229,2024-11-18,,,,Delivered,Debit Card,
214,1727,427,2024-08-26,,,,Cancelled,PayPal,"789 Pine Rd, Chicago"
215,1892,138,2024-10-17,,263.77,,Returned,PayPal,
216,2584,459,2023-04-18,4.0,,,Shipped,PayPal,
217,2778,218,2023-02-17,,,,Delivered,Cash,
218,841,406,2024-09-30,,,,Shipped,Cash,
219,1108,355,,,,,Shipped,Credit Card,"456 Oak Ave, Los Angeles"
220,934,431,2023-12-04,,,,Shipped,Credit Card,"456 Oak Ave, Los Angeles"
221,659,139,2024-06-22,3.0,,,Unknown,Crypto,"789 Pine Rd, Chicago"
222,274,51,2024-08-06,4.0,,,Processing,Cash,"789 Pine Rd, Chicago"
223,1193,241,2023-02-24,,,,Processing,PayPal,UNKNOWN
224,1176,310,2023-11-04,,,,Pending,Debit Card,UNKNOWN
225,347,390,,,,,Pending,,UNKNOWN
226,1638,433,2023-09-16,,,,Returned,Debit Card,"123 Main St, New York"
227,2709,173,2024-06-18,,,,Shipped,,
228,128,234,2024-03-23,,,,Pending,PayPal,UNKNOWN
229,807,247,2024-01-18,,,,Returned,,"456 Oak Ave, Los Angeles"
230,2696,389,2024-12-21,,331.71,,Processing,Cash,
231,2717,16,2024-04-24,,,,Shipped,Crypto,
232,561,347,,,,,Delivered,PayPal,
233,722,100,2023-09-26,,,,Returned,Debit Card,"789 Pine Rd, Chicago"
234,866,419,2023-01-18,,83.6,,Delivered,Crypto,
235,125,90,2024-05-03,1.0,,,Cancelled,Credit Card,
236,2240,389,,,63.17,,Pending,,"456 Oak Ave, Los Angeles"
237,2803,107,2023-08-29,,,,Pending,Debit Card,
238,1532,51,,,11.9,,Delivered,Debit Card,"789 Pine Rd, Chicago"
239,2756,194,2024-08-15,,162.38,,Unknown,Credit Card,
240,821,167,2024-02-09,,,,Returned,PayPal,"789 Pine Rd, Chicago"
241,1074,179,2023-02-13,,,,Pending,,
242,1778,24,2023-01-21,,,,Processing,PayPal,
243,165,461,,,,,Shipped,PayPal,"456 Oak Ave, Los Angeles"
244,421,457,2024-04-30,2.0,,,Unknown,,"123 Main St, New York"
245,2679,90,2024-08-02,,,,Returned,,
246,228,91,2024-10-27,5.0,,,Shipped,PayPal,"456 Oak Ave, Los Angeles"
247,733,150,2023-12-14,6.0,,,Cancelled,,"456 Oak Ave, Los Angeles"
248,1930,312,2023-06-08,,484.87,,Processing,Debit Card,
249,2014,397,2023-10-04,,,,Cancelled,Crypto,"789 Pine Rd, Chicago"
250,1751,232,2023-04-20,5.0,14.86,74.3,Delivered,Credit Card,"789 Pine Rd, Chicago"
251,850,132,2023-08-30,,,,Returned,Credit Card,"456 Oak Ave, Los Angeles"
252,1316,133,2024-03-10,,,,Shipped,PayPal,"456 Oak Ave, Los Angeles"
253,2456,165,2024-04-29,,225.5,,Delivered,PayPal,"789 Pine Rd, Chicago"
254,2817,164,2023-09-05,,,,Unknown,,"123 Main St, New York"
255,583,200,2024-12-19,,286.51,,Cancelled,PayPal,
256,2251,186,,,,,Delivered,PayPal,
257,2688,76,2023-09-23,3.0,,,Pending,PayPal,"123 Main St, New York"
258,2383,144,2024-03-21,7.0,,,Processing,PayPal,
259,1832,2,,,,,Cancelled,Credit Card,UNKNOWN
260,788,299,2024-11-09,,,,Processing,Crypto,"456 Oak Ave, Los Angeles"
261,2266,99,2024-10-23,,,,Delivered,Cash,"456 Oak Ave, Los Angeles"
262,152,156,2024-06-21,4.0,,,Cancelled,PayPal,
263,915,260,,,,,Processing,Crypto,"123 Main St, New York"
264,2073,184,,,182.97,,Cancelled,PayPal,
265,2753,152,2023-11-28,,,,Shipped,PayPal,"456 Oak Ave, Los Angeles"
266,698,54,2024-10-08,,,,Cancelled,Credit Card,"123 Main St, New York"
267,1326,240,,6.0,,,Shipped,Cash,"456 Oak Ave, Los Angeles"
268,1556,459,2024-08-21,,,,Cancelled,Cash,UNKNOWN
269,1794,326,2024-10-12,,220.38,,Processing,,"456 Oak Ave, Los Angeles"
270,1757,81,2023-07-30,,,,Delivered,,UNKNOWN
271,1073,86,2024-12-09,3.0,284.32,852.96,Cancelled,,"456 Oak Ave, Los Angeles"
272,808,110,2024-03-19,,,,Cancelled,PayPal,UNKNOWN
273,1197,49,2023-03-16,,395.49,,Processing,Crypto,
274,2441,39,2023-01-05,6.0,,,Shipped,,"456 Oak Ave, Los Angeles"
275,54,394,,,,,Cancelled,PayPal,UNKNOWN
276,1955,387,2023-09-03,,,,Shipped,PayPal,
277,1889,5,2023-01-18,,,,Processing,Debit Card,"123 Main St, New York"
278,901,320,2023-08-02,,,,Processing,Credit Card,
279,451,160,2024-10-06,,,,Delivered,,
280,619,62,2024-10-05,,85.35,,Delivered,Crypto,UNKNOWN
281,2564,68,,,266.72,,Processing,PayPal,"456 Oak Ave, Los Angeles"
282,2591,273,2023-08-04,,,,Returned,Crypto,"123 Main St, New York"
283,1075,55,2024-10-13,,,,Cancelled,Credit Card,UNKNOWN
284,2363,353,2023-10-18,,,,Cancelled,Credit Card,UNKNOWN
285,618,321,2023-11-20,,,,Delivered,,
286,1593,184,,,,,Cancelled,Credit Card,UNKNOWN
287,2618,277,,1.0,,,Processing,Credit Card,
288,303,157,2024-06-27,,,,Shipped,PayPal,"456 Oak Ave, Los Angeles"
289,1793,275,2023-02-01,,94.6,,Cancelled,Credit Card,UNKNOWN
290,1024,360,,,,,Cancelled,,
291,1128,306,2024-02-01,6.0,,,Shipped,PayPal,
292,2455,433,2023-02-24,1.0,,,Cancelled,,
293,46,405,2023-12-22,,,,Pending,,UNKNOWN
294,650,196,2024-01-16,,,,Pending,Cash,"456 Oak Ave, Los Angeles"
295,2688,168,2023-12-05,3.0,,,Delivered,Debit Card,"123 Main St, New York"
296,1817,40,2024-02-21,,,,Cancelled,,"789 Pine Rd, Chicago"
297,1966,117,,7.0,389.38,2725.66,Delivered,PayPal,
298,2581,301,2024-10-31,,,,Delivered,Credit Card,"456 Oak Ave, Los Angeles"
299,115,393,2024-02-19,3.0,78.8,236.4,Pending,Debit Card,"456 Oak Ave, Los Angeles"
300,1686,294,2024-12-22,,,,Pending,Cash,"123 Main St, New York"
301,867,312,2023-12-03,3.0,,,Cancelled,PayPal,
302,1713,328,2023-09-12,,,,Delivered,Cash,UNKNOWN
303,1940,170,2023-03-13,,45.06,,Cancelled,,"123 Main St, New York"
304,596,89,2023-02-25,,,,Delivered,,UNKNOWN
305,1018,278,,3.0,,,Cancelled,Credit Card,"123 Main St, New York"
306,2837,460,2023-05-10,,,,Delivered,Debit Card,"789 Pine Rd, Chicago"
307,1508,334,,,,,Returned,Credit Card,"123 Main St, New York"
308,2572,244,2023-01-29,,,,Cancelled,,"456 Oak Ave, Los Angeles"
309,1679,26,2023-02-26,,274.76,,Shipped,Cash,
310,2859,238,,,,,Processing,Debit Card,
311,2598,168,2023-01-21,5.0,,,Returned,Crypto,"456 Oak Ave, Los Angeles"
312,2286,435,2024-10-30,,,,Shipped,Credit Card,
313,1885,136,2023-02-14,,,,Processing,Debit Card,UNKNOWN
314,257,219,2024-01-29,,,,Cancelled,Crypto,"789 Pine Rd, Chicago"
315,1304,347,2024-05-04,8.0,,,Returned,Crypto,UNKNOWN
316,108,230,2023-10-03,,,,Cancelled,,
317,1511,324,2023-12-30,,,,Cancelled,Cash,"456 Oak Ave, Los Angeles"
318,295,232,,7.0,277.83,1944.81,Returned,Credit Card,"789 Pine Rd, Chicago"
319,2742,291,2024-05-16,1.0,,,Processing,Debit Card,"456 Oak Ave, Los Angeles"
320,547,159,2024-06-09,,,,Processing,Crypto,UNKNOWN
321,1417,452,2023-12-07,,,,Pending,Credit Card,"123 Main St, New York"
322,632,417,2023-08-08,,,,Returned,PayPal,"789 Pine Rd, Chicago"
323,2126,285,2023-01-24,,41.03,,Pending,Crypto,"789 Pine Rd, Chicago"
324,1436,75,2023-08-25,,,,Processing,PayPal,
325,15,487,,,,,Delivered,Debit Card,UNKNOWN
326,1065,415,,,,,Cancelled,Crypto,UNKNOWN
327,1761,374,2023-05-12,,,,Processing,PayPal,"789 Pine Rd, Chicago"
328,2151,351,2023-09-25,,,,Delivered,Debit Card,"456 Oak Ave, Los Angeles"
329,2308,260,2024-09-03,8.0,,,Delivered,Debit Card,
330,866,123,,,,,Cancelled,,
331,2680,341,,1.0,,,Processing,PayPal,
332,532,350,2024-03-08,2.0,,,Processing,Debit Card,
333,394,298,2024-07-19,,261.3,,Delivered,PayPal,"123 Main St, New York"
334,710,488,,,,,Pending,Cash,"456 Oak Ave, Los Angeles"
335,26,155,,,,,Returned,Credit Card,"123 Main St, New York"
336,1471,175,2024-12-13,,152.73,,Shipped,PayPal,
337,1105,99,2023-02-10,,,,Shipped,Crypto,UNKNOWN
338,1830,223,,,,,Pending,Credit Card,
339,1644,407,2024-07-06,,,,Processing,,"456 Oak Ave, Los Angeles"
340,1432,60,2024-01-21,,,,Delivered,Debit Card,
341,1982,480,,,,,Shipped,PayPal,UNKNOWN
342,2864,83,2024-02-11,8.0,,,Returned,Cash,
343,2301,76,2024-05-12,,,,Shipped,Crypto,UNKNOWN
344,2685,478,2024-03-13,,464.52,,Processing,Cash,"123 Main St, New York"
345,2995,389,2023-02-13,,,,Returned,Crypto,
346,2218,251,2023-07-01,,,,Processing,Cash,UNKNOWN
347,2161,320,,,488.26,,Cancelled,Credit Card,
348,2120,172,2023-02-10,,,,Cancelled,,
349,433,431,2024-05-04,,,,Shipped,,"789 Pine Rd, Chicago"
350,2674,399,,,242.91,,Processing,Crypto,UNKNOWN
351,1917,385,2023-11-28,2.0,,,Cancelled,,
352,1572,114,,,,,Delivered,PayPal,
353,1548,178,2024-11-16,7.0,,,Cancelled,Cash,"456 Oak Ave, Los Angeles"
354,835,334,2024-07-13,,,,Shipped,PayPal,
355,47,230,2024-08-04,,11.99,,Processing,Crypto,"456 Oak Ave, Los Angeles"
356,2134,213,2024-02-16,2.0,340.17,680.34,Shipped,Credit Card,
357,12,324,2023-12-08,,276.92,,Delivered,Crypto,
358,794,496,2023-06-26,7.0,,,Unknown,PayPal,"789 Pine Rd, Chicago"
359,2652,298,,,397.27,,Returned,Debit Card,
360,58,212,,,307.56,,Processing,Credit Card,"123 Main St, New York"
361,1352,375,,,,,Delivered,Cash,"456 Oak Ave, Los Angeles"
362,23,389,,9.0,,,Cancelled,Debit Card,"456 Oak Ave, Los Angeles"
363,1317,47,2023-10-02,,,,Shipped,Credit Card,
364,1579,426,2024-03-17,,,,Cancelled,Cash,
365,1043,244,,,,,Delivered,Debit Card,"123 Main St, New York"
366,2487,73,2023-01-08,,398.3,,Shipped,Credit Card,"456 Oak Ave, Los Angeles"
367,180,472,2024-02-04,,93.25,,Shipped,,"789 Pine Rd, Chicago"
368,600,397,2023-10-05,6.0,440.05,2640.3,Returned,Credit Card,
369,1474,122,,,,,Returned,PayPal,
370,1995,48,,,301.48,,Returned,Credit Card,UNKNOWN
371,2276,240,2023-04-21,,,,Delivered,Credit Card,
372,539,396,2024-10-03,6.0,,,Shipped,Crypto,
373,1546,462,2024-06-19,,122.0,,Returned,Credit Card,"456 Oak Ave, Los Angeles"
374,1496,36,,1.0,229.43,229.43,Pending,Crypto,UNKNOWN
375,836,389,,,,,Delivered,,"789 Pine Rd, Chicago"
376,2687,398,2023-04-29,1.0,56.85,56.85,Processing,Credit Card,"456 Oak Ave, Los Angeles"
377,1012,116,2024-11-03,,,,Unknown,Crypto,
378,2457,450,2023-03-09,,,,Delivered,PayPal,UNKNOWN
379,1248,165,2023-05-01,,,,Shipped,Crypto,
380,1946,202,2024-09-06,8.0,,,Processing,Debit Card,
381,1980,117,,,,,Shipped,,
382,1749,452,,,,,Processing,Cash,"123 Main St, New York"
383,500,360,,,52.08,,Delivered,Credit Card,UNKNOWN
384,1349,496,2024-10-15,3.0,,,Returned,PayPal,"456 Oak Ave, Los Angeles"
385,1569,446,2024-02-07,,132.19,,Returned,,
386,2637,255,,,,,Processing,Debit Card,"123 Main St, New York"
387,2299,267,2024-12-23,,489.03,,Cancelled,PayPal,
388,1434,280,,3.0,417.33,1251.99,Processing,Credit Card,UNKNOWN
389,1855,254,2024-07-30,2.0,,,Returned,Credit Card,
390,2029,2,,,,,Pending,,
391,2562,266,2023-08-30,4.0,253.56,1014.24,Delivered,Debit Card,
392,157,443,2024-05-11,,,,Returned,,"123 Main St, New York"
393,2053,301,2024-02-26,,,,Delivered,Crypto,UNKNOWN
394,617,170,2024-06-09,,,,Shipped,PayPal,"456 Oak Ave, Los Angeles"
395,1289,6,,,,,Cancelled,Cash,"123 Main St, New York"
396,2127,244,2024-02-08,5.0,22.95,114.75,Returned,,
397,1885,460,2024-10-06,5.0,484.87,2424.35,Cancelled,,"456 Oak Ave, Los Angeles"
398,120,389,2023-03-10,,151.51,,Delivered,Cash,"789 Pine Rd, Chicago"
